DAY ID MONTHLY_REVENUE VAT_PAYMENT EBT MONTHLY_WAGE_PAYMENT TOTAL_FINANCIAL_PAYMENT PHYSICAL_CAPITAL_DEPRECIATION_COST DIVIDEND_PAYMENT CAPITAL_TAX_PAYMENT NET_EARNINGS
 260 3 32.372640 48.016662 -73.397304 230.000000 0.741728 34.722222 -0.000000 0.000000 -73.397304
 260 4 0.000000 30.237623 10.322316 30.000000 4.616691 34.722222 41.289262 1.032232 9.290084
 280 18 0.000000 0.000000 -44.722222 10.000000 0.000000 34.722222 0.000000 0.000000 -44.722222
 280 17 0.000000 21.018817 7.542521 10.000000 1.640441 34.722222 30.170084 0.754252 6.788269
 280 10 23.987988 1.212765 -53.366764 10.000000 13.495601 34.722222 0.000000 0.000000 -53.366764
 280 9 2.283564 0.000000 -56.738160 10.000000 12.015938 34.722222 0.000000 0.000000 -56.738160
 280 1 350.652320 80.706007 3.518697 270.000000 0.508322 34.722222 14.074788 0.351870 3.166827
 280 2 9.311777 10.388802 -23.167015 30.000000 0.000000 34.722222 -0.000000 0.000000 -23.167015
 280 16 0.000000 0.000000 -81.820849 40.000000 7.098627 34.722222 0.000000 0.000000 -81.820849
 280 15 149.512295 33.831105 10.552414 30.000000 17.840129 34.722222 42.209655 1.055241 9.497172
 280 7 0.000000 3.634862 -41.341726 20.000000 1.158951 34.722222 -0.000000 0.000000 -41.341726
 280 8 83.670541 4.915444 -29.070735 10.000000 4.010290 34.722222 -0.000000 0.000000 -29.070735
 280 14 377.909500 83.525621 3.644262 280.000000 1.158951 34.722222 14.577048 0.364426 3.279836
 280 13 211.141178 83.525621 3.644262 280.000000 1.158952 34.722222 14.577048 0.364426 3.279836
 280 5 0.000000 13.024675 -13.782478 30.000000 1.158954 34.722222 -0.000000 0.000000 -13.782478
 280 6 9.557702 2.748896 -35.086545 10.000000 1.359908 34.722222 0.000000 0.000000 -35.086545
 280 12 100.350756 57.372048 -56.392983 250.000000 1.158954 34.722222 -0.000000 0.000000 -56.392983
 280 11 211.496313 83.525621 3.644262 280.000000 1.158951 34.722222 14.577048 0.364426 3.279836
 280 3 45.790174 51.121226 3.804191 150.000000 0.741728 34.722222 15.216763 0.380419 3.423772
 280 4 33.419804 13.819817 -14.059646 30.000000 4.616691 34.722222 -0.000000 0.000000 -14.059646
 300 17 0.000000 36.753180 20.130011 10.000000 1.640441 34.722222 80.520046 2.013001 18.117010
 300 18 0.000000 0.000000 -44.722222 10.000000 0.000000 34.722222 0.000000 0.000000 -44.722222
